run_id,workflow,scenario_id,branch,env,service,status,failure_stage,commit_sha,image,tests_total,tests_failed,commit_ts,,test_ts,push_ts,deploy_ts,ended_ts,ttd_sec
18881626500,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,012ea42d0d6fa652179c3bd885d2e91a375281df,,1,1,2025-10-28T16:17:57Z,,,,,,
18880971394,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,ddae78e998a7da0a94423e7c080c473f3e8f19fb,,1,1,2025-10-28T15:56:10Z,,,,,,
18880886586,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,aed76c2d141d51cd0ff6b5dad2412836db2fdade,,1,1,2025-10-28T15:53:17Z,,,,,,
18880060286,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,49ba40b447ed6b6bc7023ede0dea2a92062c39d0,,1,1,2025-10-28T15:26:29Z,,,,,,
18878714765,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,02cb8f91b77685ce65f17fd4613e27a1dcd6d8ad,,1,1,2025-10-28T14:44:06Z,,,,,,
18877906130,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,780b7219ebf26ccce603bf9a6a921f965b0eb11b,,1,1,2025-10-28T14:18:21Z,,,,,,
18876988353,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,713db118e69680d6258e6d3d4fef9157cac30630,,1,1,2025-10-28T13:48:21Z,,,,,,
18875541832,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,0b517dcbfa035becf55c6a5bb0020cbbd8defd95,,1,1,2025-10-28T12:58:36Z,,,,,,
18875363096,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,6dcf6e658b00e32fc3291f3d5cad069f1f21a885,,1,1,2025-10-28T12:51:35Z,,,,,,
18874928588,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,0b898ad329fd1edff277988d1a7b911de4dd48b2,,1,1,2025-10-28T12:34:46Z,,,,,,
18873610798,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,6a8708d2ca46d8dc9e4841ded6ce96775cf2b417,,1,1,2025-10-28T11:42:30Z,,,,,,
18873376819,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,869499de84cfe9383e72a955a8a86e86d8a21879,,1,1,2025-10-28T11:32:49Z,,,,,,
18873247307,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,0815409386f0ccb216bd83a800aaa5c0bcc4eebc,,1,1,2025-10-28T11:27:44Z,,,,,,
18872989560,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,2a4dd594e26c704c8eda35506fc67b9cfb045072,,1,1,2025-10-28T11:17:41Z,,,,,,
18872968424,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,cc2ccd4604f5ff9b79fcc0864590f8f3b12a8897,,1,1,2025-10-28T11:16:53Z,,,,,,
18872632873,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,26ba9c98f1dc3e1ca8bf0d2f1bc9ad65eea12366,,1,1,2025-10-28T11:04:05Z,,,,,,
18872417876,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,e3e50432ecd7e30d389ec75f74f24fb52a9ab06e,,1,1,2025-10-28T10:55:13Z,,,,,,
18872371876,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,f1fe9d1421b5465777ca9dcab4faed72f7e0253b,,1,1,2025-10-28T10:53:17Z,,,,,,
18871867418,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,655a79df7066631f1df1aa886fe0b7bd176895b7,,1,1,2025-10-28T10:33:16Z,,,,,,
18870154451,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,b90749ee220fa09017defa6b734e474a14fa2057,,1,1,2025-10-28T09:28:10Z,,,,,,
18869671641,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,20128159fec3bee411c06a0502c808e5a15fe361,,1,1,2025-10-28T09:10:08Z,,,,,,
18869413631,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,3126f939e6ef4eb4981cce7dbd78ef613d7ed854,,1,1,2025-10-28T09:00:35Z,,,,,,
18869114940,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,5ec0216e0f52c1a540bc93754a6b6625ecaaa6a2,,1,1,2025-10-28T08:48:25Z,,,,,,
18869114918,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,5ec0216e0f52c1a540bc93754a6b6625ecaaa6a2,,1,1,2025-10-28T08:48:25Z,,,,,,
18846072072,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,fb6fff78e5c19bc429d661f43a3591255c5584f0,,1,1,2025-10-27T15:16:23Z,,,,,,
18845742133,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,03edbb7c39dd03f724ac6c55d9eadde49d10c6a3,,1,1,2025-10-27T15:06:23Z,,,,,,
18845627563,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,38b6f017de31c45e63a0f4f6a8101bc138dc0b39,,1,1,2025-10-27T15:02:58Z,,,,,,
18845446759,s1_ci,S1,baseline-dev,cloud-run,baseline-app,failure,,4f85498b9234baeac9e2f2cf325ebb7221441fba,,1,1,2025-10-27T14:57:23Z,,,,,,
